Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
10854 – Software Engineer,2025-11-20,https://jobright.ai/jobs/info/691f88eb3f782d2f1afbd725?utm_source=1100&utm_campaign=Software Engineering,On Site,"Fountain Valley, CA",Hyundai AutoEver America,251-500,Automotive,$63K-$82K /yr,"1. 0-2 years of cloud consulting across Azure and AWS, with portal development in ReactJS and .NET.
2. Experienced in IAM, SSO, RESTful APIs, Microservices, and SharePoint.
3. Proficient in CMS tools like Strapi.io, GraphQL, and PostgreSQL.
4. Skilled in Agile, TDD, and DevOps, including CI/CD pipelines using GitLab.",not sure,yes
Field Tablet Technician,2025-11-20,https://jobright.ai/jobs/info/691f88a53f782d2f1afbd6d9?utm_source=1100&utm_campaign=Software Engineering,On Site,"Birmingham, AL","TKC Holdings, Inc.",5001-10000,"Electronics,Food and Beverage",$30-$30 /hr,"1. High School Diploma or GED required
2. Ability to multi-task and meet deadlines
3. Self-motivated, able to work independently
4. MS Office Suite proficient
5. Self-starting, able to self-train on communications-based product line
...",not sure,
Operations and Audio-Visual Associate,2025-11-20,https://jobright.ai/jobs/info/691f88933f782d2f1afbd6c2?utm_source=1100&utm_campaign=Software Engineering,On Site,"Washington, DC",EAB,1001-5000,,$40000-$40000 /yr,"1. Education: High school graduate or GED
2. 1+ year work experience
3. Demonstrated success delivering service both internally and externally and record of achievement
4. Proven multi-tasking skills in a fast-paced environment
5. Extremely organized and detail oriented
...",no,
Computer Engineer - Bellagio,2025-11-20,https://jobright.ai/jobs/info/691f87dd3f782d2f1afbd61d?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
LV Metro Area
Office - Bellagio",MGM Resorts International,10000+,"Gambling,Hospitality",$24-$24 /hr,"1. Must be 21 years or older
2. 6+ months of prior relevant experience in Information Technology in a similar role",not sure,yes
Junior Mobile Engineer,2025-11-20,https://jobright.ai/jobs/info/691f879ea49a885af9a31476?utm_source=1100&utm_campaign=Software Engineering,On Site,"Truckee, CA",Stat AI,1-10,,$70000-$70000 /yr,"1. One to two years of mobile engineering experience or strong personal projects
2. Solid understanding of React Native
3. Willingness to learn and work with Convex
4. Experience building and shipping real projects
5. Curiosity for sports, analytics, or betting data
...",not sure,
Junior Data Engineer,2025-11-20,https://jobright.ai/jobs/info/691f874aa49a885af9a3141d?utm_source=1100&utm_campaign=Software Engineering,On Site,"New York, United States",Federal Home Loan Bank of New York,251-500,"Financial Services,Insurance",$100K-$115K /yr,"1. Design and build reliable and efficient processes for the loading, transformation, and storage of complex financial data from various sources.
2. Utilize SQL, Python, and Snowflake for data handling and management.
3. Build processes for data verification and take responsibility for ensuring data quality.
4. Collaborate with colleagues in employing the data to enable the development of Balance Sheet modeling and analytics tools which will promote data-driven decision-making across the Bank.
5. Develop an understanding of financial concepts associated with the analysis of bond, swap and option instruments (e.g. pricing, risk exposures, market dynamics).
...",not sure,
Application Support Specialist,2025-11-20,https://jobright.ai/jobs/info/691fa4cd3f782d2f1afbeea8?utm_source=1100&utm_campaign=Software Engineering,On Site,"Burnaby, British Columbia, Canada",Altea Healthcare,101-250,,$50K-$70K /yr,"1. Experience with Freshdesk or similar ticketing/support platforms.
2. Strong analytical and troubleshooting ability with a structured approach to problem-solving.
3. Ability to inspect and diagnose issues using web browser developer tools.
4. Excellent written and verbal communication skills, especially in documenting technical findings.
5. Strong organizational skills with the ability to manage multiple tickets and priorities.
...",not sure,
Information Technology (IT) Application Support Analyst II,2025-11-20,https://jobright.ai/jobs/info/691f86593f782d2f1afbd463?utm_source=1100&utm_campaign=Software Engineering,On Site,"Washington, DC, US",Komline,101-250,Manufacturing,$65000-$80000 /yr,"1. Bachelor’s Degree in Information Systems, Computer Science, or a related field
2. Strong working knowledge of Microsoft Dynamics 365 F&O, particularly within the manufacturing industry
3. 1–3 years of experience in IT application support or Enterprise Resource Planning (ERP) support
4. Understanding of incident management and change control processes (e.g., ITIL framework)
5. Strong analytical, troubleshooting, and verbal/written communication
...",not sure,
Infrastructure Analyst - Officer,2025-11-20,https://jobright.ai/jobs/info/691f8612a49a885af9a312d5?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Fountain Valley, CA",Citi,1001-5000,"Banking,Finance",$64K-$89K /yr,"1. 0-2 years of experience in a Technology Infrastructure role
2. Ability to communicate technical concepts to non-technical audience
3. Ability to work with virtual and in-person teams, and work under pressure or to a deadline
4. Effective written and verbal communication skills
5. Effective analytic/diagnostic skills
...",not sure,yes
I.T. Help Desk Specialist,2025-11-20,https://jobright.ai/jobs/info/691fa3a13f782d2f1afbedfc?utm_source=1100&utm_campaign=Software Engineering,On Site,"Minneapolis, MN",Mn Adult & Teen Challenge,251-500,"Health Care,Non Profit",$18-$20 /hr,"1. Responsible for providing technical assistance and support related to computer systems, hardware, or software.
2. Responds to help requests, isolates problems, and determines and implements appropriate solution or escalates request to the appropriate level 2 team.
3. Provide helpdesk support and resolve problems to the end user’s satisfaction.
4. Monitor and respond quickly and effectively to requests received through the IT helpdesk.
5. Assigns or escalates requests to appropriate team members when necessary.
...",not sure,
Software Engineering Specialist,2025-11-20,https://jobright.ai/jobs/info/691f858ea49a885af9a3125b?utm_source=1100&utm_campaign=Software Engineering,Hybrid,West Melbourne,GE Vernova,10000+,"Energy,Energy Efficiency",$58400-$87600 /yr,"1. Bachelor's Degree in Computer Science or 'STEM' Majors (Science, Technology, Engineering and Math) with minimum of one year of experience.
2. Experience with web front-end technologies such as typescript/javascript, HTML5, CSS, and frameworks like Angular, React, VueJS",not sure,
Applied Statistics Postdoctoral Researcher,2025-11-20,https://jobright.ai/jobs/info/691fac8b09cc522e87744695?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Livermore, CA",Physics World,11-50,Publishing,$118K-$135K /yr,"1. Ability to secure and maintain a U.S. DOE Q-level security clearance which requires U.S. citizenship.
2. PhD degree in Statistics or related technical or scientific field.
3. Fundamental knowledge and/or experience developing and applying statistical/machine learning models and algorithms for one or more of the following settings: calibration, uncertainty quantification, surrogate modeling, design of experiments, classification, clustering, anomaly detection.
4. Effective initiative and interpersonal skills and ability to work in a collaborative, multidisciplinary team environment, including demonstrated desire and ability to obtain substantial domain knowledge in fields of application.
5. Proficient verbal and written communication skills to collaborate effectively in a team environment, present and explain technical information, and effectively communicate with subject matter experts.
...",no,
"Software Engineer I (MERN, AWS)",2025-11-20,https://jobright.ai/jobs/info/691f88af09cc522e87742957?utm_source=1100&utm_campaign=Software Engineering,On Site,"Hartford, CT",Travelers,10000+,"Auto Insurance,Insurance",$99K-$163K /yr,"1. Bachelor’s degree or its equivalent in work experience.
2. One year of programming/development experience.",no,
ITS Electronic Technician Assistant,2025-11-20,https://jobright.ai/jobs/info/691fa5bfa49a885af9a32dc4?utm_source=1100&utm_campaign=Software Engineering,On Site,Greater Lexington Area,University of Kentucky,10000+,"Agriculture,Education",$15-$24 /hr,"1. AA
2. No experience required
3. None
4. Must be able to work from ladders or lifts up to 15 feet or higher
5. Must be able to reach overhead and use hand tools
...",not sure,yes
IT Network Administrator- On-Site,2025-11-20,https://jobright.ai/jobs/info/691fa195a49a885af9a32aca?utm_source=1100&utm_campaign=Software Engineering,On Site,"Hamilton, IN",Triton Metal Products,51-100,"Industrial,Manufacturing",$60K-$80K /yr,"1. Maintain and administer computer networks and related computing environments, including computer hardware, systems software, applications software, and all configurations.
2. Perform data backups and disaster recovery operations.
3. Diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.
4. Configure, monitor, and maintain email applications or virus protection software.
5. Operate master consoles to monitor the performance of computer systems and networks, and to coordinate computer network access and use.
...",not sure,
Software Engineer,2025-11-20,https://jobright.ai/jobs/info/691f7e00a49a885af9a30ccf?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
New York, NY (55th St)
Nashville, TN; 1200 Broadway, 6th Floor, 37203
San Antonio, TX (Stone Oak)
Los Angeles, CA: 6100 Center Drive West, Suite 800, 90045
Atlanta, GA: 1255 Makers Way, Suite A, 30318",iHeartMedia,5001-10000,"Advertising,Advertising Platforms",$96000-$120000 /yr,"1. Experience with Python, Celery, and FastAPI
2. Experience with Postgres or other SQL Databases
3. Experience with message brokers or event streaming such as RabbitMQ or Kafka
4. Experience with Redis or Elasticache
5. Strong written/verbal communication skills and able to take feedback from others
...",not sure,
AI Engineer,2025-11-20,https://jobright.ai/jobs/info/69202f5da49a885af9a3754c?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,General Dynamics Information Technology,10000+,"Artificial Intelligence (AI),Cloud Computing",$85000-$115000 /yr,"1. Education: Bachelor of Arts/Bachelor of Science
2. Experience: 0+ years of related experience
3. Technical skills: Data Science, R, Python, LLMs
4. Security clearance level: must be able to obtain EPA Public Trust Level 4
5. US citizenship required
...",no,yes
"IT Monitoring Specialist, TS/SCI with Polygraph",2025-11-20,https://jobright.ai/jobs/info/69202d7fa49a885af9a372b2?utm_source=1100&utm_campaign=Software Engineering,On Site,"Fort Belvoir, VA",General Dynamics Information Technology,10000+,"Artificial Intelligence (AI),Cloud Computing",$91811-$103500 /yr,"1. Top Secret SCI + Polygraph clearance level must currently possess.
2. Top Secret SCI + Polygraph clearance level must be able to obtain.
3. 1 + years of related experience.
4. US Citizenship required.
5. Help Desk Support, Monitoring Tools, Technical Support skills.
...",no,
Digital Insights Analyst,2025-11-20,https://jobright.ai/jobs/info/691f7c25a49a885af9a30a9c?utm_source=1100&utm_campaign=Software Engineering,On Site,"New York, NY",Foot Locker,10000+,"Apparel,Fashion",$55K-$70K /yr,"1. Bachelor’s degree in quantitative field, business, or marketing.
2. Experience working with Adobe Analytics, Google Analytics, and Power BI.
3. 1-3 years’ experience with business and digital analytics.
4. Advanced skills in Microsoft Excel.
5. Experience with tag management (e.g. Google Tag Manager, Adobe Launch, Tealium) and tools used to debug digital analytics event tracking.
...",no,
IT Quality Specialist I,2025-11-20,https://jobright.ai/jobs/info/691f7bf6a49a885af9a30a63?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
USA - Remote - Massachusetts
Bedford, MA",Fortrea,10000+,"Clinical Trials,Health Care",$25-$27 /hr,"1. Bachelor's Computer Science, Biology, Data Systems, or related field
2. Knowledge of Microsoft Office
3. Excellent Interpersonal, Collaboration, and Communication Skills
4. Knowledge of Compliance Management",not sure,
Quality Assurance Specialist,2025-11-20,https://jobright.ai/jobs/info/691f7bce09cc522e87741dfe?utm_source=1100&utm_campaign=Software Engineering,On Site,"North Mankato, MN - Precision Press Inc",Taylor Corporation,10000+,"Media and Entertainment,Public Relations",$65000-$72000 /yr,"1. Quality-oriented background with knowledge of operating procedures in a manufacturing environment
2. Intermediate to advanced proficiency in MS Office Suite, including Excel, Word, and PowerPoint
3. Strong written and verbal communication skills
4. Solid mathematical skills and high attention to detail
5. Basic knowledge of safety standards
...",not sure,
Consulting Engineer I (Full Time) - United States,2025-11-20,https://jobright.ai/jobs/info/691f7ba43f782d2f1afbcc57?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Chicago, IL
Richfield, OH
Austin, TX
Herndon, VA
Atlanta, GA
Durham, NC
Richardson, TX",Cisco,10000+,"Communications Infrastructure,Enterprise Software",$77600-$113300 /yr,"1. Completion within the past 3 years, or current enrollment with expected completion within 12 months, of a certification or relevant degree program (e.g., Associates, Apprenticeship, Boot Camp, or Certification in a specialized program) + 1 year of relevant experience, High School Diploma + 2 years of relevant experience or Bachelors + 0 years of relevant experience. Relevant fields include: Computer Networking, Computer Science, Information Systems, Cyber Security, Computer Networking, Computer Science or Engineering
2. Basic computer networking fundamentals relating to IP addressing, routing, switching, TCP/IP and OSI model.
3. Proficient in Python, REST APIs, Automation.
4. Fluent in English with excellent verbal and written communication.
5. Ability to multi-task, self-start, work in a dynamic team environment and work independently.
...",not sure,yes
Data Analyst,2025-11-20,https://jobright.ai/jobs/info/691fa37209cc522e87743fd4?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Mississauga, Ontario, Canada",Cognizant,10000+,"Consulting,Industrial Automation",CAD72000-CAD80000 /yr,"1. Strong understanding of data structures, data mapping, and transformation logic.
2. Excellent knowledge of SQL.
3. Experience in data migration or integration projects.
4. Excellent communication and collaboration skills.
5. Ability to work independently and manage multiple priorities.",not sure,
On-Site Support Technician,2025-11-20,https://jobright.ai/jobs/info/691f7b1d09cc522e87741d1c?utm_source=1100&utm_campaign=Software Engineering,On Site,"Atlanta, GA",Leapfrog Services,5001-10000,"Cyber Security,Information Services",$50K-$55K /yr,"1. Providing best-in-class, multi-tiered technical support, including user account support, mobile device configuration, and client, server, and stand-alone application support.
2. Assisting clients by analyzing issues related to LANs, WANs, and internet connectivity.
3. Troubleshooting hardware and software problems used in conjunction with Office 365.
4. Utilizing knowledge bases and tools to diagnose and repair client issues within target time limits.
5. Troubleshooting system problems and completing repairs in a timely, efficient manner.
...",not sure,
Data Analyst,2025-11-20,https://jobright.ai/jobs/info/691f7aeb09cc522e87741ce5?utm_source=1100&utm_campaign=Software Engineering,On Site,"Rantoul, IL",Giro Sport Design,1-10,"Computer,Hardware","$63,000-$83,700 /yr","1. Advanced proficiency in Microsoft Excel (pivot tables, VLOOKUP, Power Query) and Power BI.
2. Experience working with multiple ERP systems and integrating data across platforms.",not sure,
Software Engineer,2025-11-20,https://jobright.ai/jobs/info/691fa38ca49a885af9a32c67?utm_source=1100&utm_campaign=Software Engineering,On Site,"Vancouver, British Columbia, Canada",EA SPORTS,10000+,"Electronics,Sports",CAD83000-CAD116400 /yr,"1. Degree in B.Sc. in Computer Science, or equivalent training and professional experience.
2. Proficiency in C++ programming.
3. Demonstrated knowledge of good software engineering practices.
4. Work in a collaborative team environment.
5. Experience solving challenging engineering problems with solutions.
...",not sure,
Sales Project Manager,2025-11-20,https://jobright.ai/jobs/info/691bb46622a2cb4b9bd15294?utm_source=1100&utm_campaign=Software Engineering,On Site,"Inglewood, CA",CareersInFood.com,51-100,"Human Resources,Manufacturing",$60K-$80K /yr,"1. Strong organizational skills and attention to detail.
2. Excellent communication and interpersonal skills; comfortable engaging with customers and internal teams.
3. Ability to manage multiple priorities with a proactive, solution-oriented mindset.
4. Proficiency in Microsoft Office (Excel, PowerPoint, Outlook) and ability to learn new systems quickly.
5. Commitment to developing a long-term career with Don Lee Farms in sales and commercialization.
...",not sure,
IT Support Engineer,2025-11-20,https://jobright.ai/jobs/info/691f9dc7a49a885af9a327cd?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"New York, United States",La French Tech Taiwan,11-50,,$65K-$75K /yr,"1. Bachelor's degree in Information Technology, Computer Science, or a related field, or equivalent practical experience.
2. Basic understanding of operating systems (Windows, macOS, Linux), network protocols (TCP/IP, DNS), and common office applications (Microsoft Office Suite, Google Workspace).
3. Familiarity with IT ticketing systems and remote support tools.
4. Excellent problem-solving skills and the ability to diagnose and resolve technical issues efficiently.
5. Strong communication and interpersonal skills, with the ability to explain technical concepts clearly to non-technical users.
...",not sure,
Post Doc - Natural Language Processing - Microsoft Word Applied Science,2025-11-20,https://jobright.ai/jobs/info/691f77863f782d2f1afbc848?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Redmond, WA",Microsoft,10000+,"Application Performance Management,Artificial Intelligence (AI)",$101K-$215K /yr,"1. PhD in Computational Linguistics, Computer Science or related field with a focus on NLP (completed or close to completion by the start date).
2. Demonstrated research excellence evidenced by at least two peer-reviewed publications or equivalent high-quality writing samples, provided as part of the application.",not sure,
Analyst - Data Governance,2025-11-20,https://jobright.ai/jobs/info/691f9511a49a885af9a321e1?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Glenview, IL",Wesco,10000+,"Commercial,Electronics",$63K-$82K /yr,"1. Bachelor’s Degree is required
2. 1 year of knowledge of computer system applications: Microsoft Office (E-mail, Excel and Word), Oracle ERP is required
3. 1 year of knowledge of data domain and business operations is required
4. Able to work independently as well as in a team environment
5. Strong written, oral communication, and interpersonal skills with a positive disposition
...",not sure,
REMOTE | Support Engineer - Tier 1,2025-11-20,https://jobright.ai/jobs/info/691f77523f782d2f1afbc812?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Addigy,51-100,"Computer,IT Management",$50000-$55000 /yr,"1. Entry-level experience
2. Ability to provide industry leading white glove customer service and support
3. Timely handling of incoming support tickets through all pertinent channels
4. Escalation of complex support issues to Tier 2 Support Engineers
5. Contribute to Support Knowledge Base Articles
...",not sure,
"Research Scientist, Efficient Deep Learning - New College Grad 2025",2025-11-20,https://jobright.ai/jobs/info/691f76993f782d2f1afbc759?utm_source=1100&utm_campaign=Software Engineering,On Site,"US, CA, Santa Clara",NVIDIA,10000+,"Artificial Intelligence (AI),GPU","$160,000-$258,750 /yr","1. Completing or recently completed a Ph.D. in Computer Science/Engineering, Electrical Engineering, etc., or have equivalent research experience.
2. Excellent knowledge of theory and practice of computer vision methods, as well as deep learning.
3. Experience with large language models and large vision-language models is required.
4. Excellent programming skills in Python and PyTorch.
5. Hands-on experience with large-scale model training including data preparation and model parallelization (tensor and pipeline) is required.
...",not sure,
Software Engineer - Robotics,2025-11-20,https://jobright.ai/jobs/info/691f7607a49a885af9a303a5?utm_source=1100&utm_campaign=Software Engineering,On Site,"Gainesville, FL",Rovex Technologies Corporation,1-10,"Hospital,Medical Device",$60000-$100000 /yr,"1. Bachelor’s degree in Computer Science, Software Engineering, or a related field.
2. Strong skills in C++ and Python.
3. Experience with software architecture, distributed systems, or embedded applications.
4. Comfort with Linux environments and modern development tools (Git, Docker, CI/CD).
5. Curiosity and willingness to learn robotics, mapping, and simulation systems.",no,
AI Forward Deployed Engineer,2025-11-20,https://jobright.ai/jobs/info/691f92f33f782d2f1afbe139?utm_source=1100&utm_campaign=Software Engineering,Hybrid,United States,OneStream Software,1001-5000,"Information Technology,Software",$120K-$149K /yr,"1. Bachelor's degree in computer science, data science, or relevant combination of education and experience.
2. 0-2 years of software engineering experience, with a focus on data science, AI, or machine learning concepts.
3. 1-2 years of industry experience in Applied Artificial Intelligence and/or Machine Learning.
4. 1-3 years of experience delivering/implementing enterprise software solutions in FP&A/CPM/EPM or data/AI platforms, including at least 1 year in customer-facing build roles.
5. Demonstrated success contributing to POCs or early implementations that transitioned to scaled rollout or productized assets.
...",no,
Support Engineer (Bilingual English & Spanish),2025-11-20,https://jobright.ai/jobs/info/690e2f4e221b890c2780b916?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Atlanta, GA
Denver, CO
Miami, FL",Visa,10000+,"Banking,Finance",$67K-$94K /yr,"1. Minimum of 6 months of work experience or a Bachelor's Degree
2. Proficiency in Linux, including command line tools, shell scripting, and log analysis.
3. Familiarity with cloud platforms such as AWS or Azure.
4. Experience working in a customer-facing role, technical or non-technical.
5. Fluent in English and Spanish, both written and verbal.
...",no,yes
Graduate Production Support Analyst,2025-11-20,https://jobright.ai/jobs/info/691f741909cc522e8774174d?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Montréal, Quebec, Canada
Halifax, Nova Scotia, Canada",mthree,1001-5000,"Corporate Training,Information Technology",,"1. Bachelor's degree in computer science or a related STEM subject (science, technology, engineering, math)
2. A GPA of 2.75 or higher
3. Ability to troubleshoot, taking an analytical approach to solve problems
4. The right to work in Canada without needing visa sponsorship
5. Applicants must be currently authorized to work in Canada on a full-time basis",no,
Quality Assurance Team Lead III,2025-11-20,https://jobright.ai/jobs/info/691f8f003f782d2f1afbdd29?utm_source=1100&utm_campaign=Software Engineering,On Site,"Toano, VA",Owens & Minor,10000+,"Health Care,Supply Chain Management",$21-$21 /hr,"1. Ability to perform functions in a SAP & Microsoft Environment
2. Good verbal and written communication skills
3. Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals",not sure,yes
Generative AI Specialist - Humanities (English and Danish),2025-11-20,https://jobright.ai/jobs/info/691f7223a49a885af9a300c2?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
Oklahoma City, Oklahoma, United States
Indianapolis, Indiana, United States
Jackson, Mississippi, United States
Nashville, Tennessee, United States
New Jersey, New Jersey, United States
Stowe, Vermont, United States
Milwaukee, Wisconsin, United States
Kansas City, Missouri, United States
Rhode Island, Rhode Island, United States
Boston, Massachusetts, United States
Phoenix, Arizona, United States
Des Moines, Iowa, United States
Louisville, Kentucky, United States
New Orleans, Louisiana, United States
Virginia Beach, Virginia, United States
Chicago, Illinois, United States
Wichita, Kansas, United States
Detroit, Michigan, United States
Charlotte, North Carolina, United States
Hawaii, Hawaii, United States
Salt Lake City, Utah, United States
Wilmington, Delaware, United States
Fargo, North Dakota, United States
Little Rock, Arkansas, United States
Boise, Idaho, United States
Dallas, Texas, United States
Columbus, Ohio, United States
Sioux Falls, South Dakota, United States
Huntsville, Alabama, United States
Philadelphia, Pennsylvania, United States
Manchester, New Hampshire, United States
Hartford, Connecticut, United States
Atlanta, Georgia, United States
Baltimore, Maryland, United States
Charleston, South Carolina, United States
Cheyenne, Wyoming, United States
Portland, Oregon, United States
Portland, Maine, United States
Albuquerque, New Mexico, United States
Minneapolis, Minnesota, United States
Charleston, West Virginia, United States
Miami, Florida, United States",Innodata Inc.,5001-10000,"Analytics,Artificial Intelligence (AI)",$25-$25 /hr,"1. A Bachelor’s degree or higher in a humanities specialization is required.
2. Professional or Expert level proficiency (C1/C2) in English and Danish.
3. Applicants must be legally authorized to work in the United States at the time of hire.",no,
DevOps Engineer,2025-11-20,https://jobright.ai/jobs/info/691f8ca63f782d2f1afbda93?utm_source=1100&utm_campaign=Software Engineering,On Site,"Chicago, IL",Capgemini Engineering,10000+,"Consulting,Information Services",$60K-$70K /yr,"1. Familiarity with cloud platforms (AWS, Azure, GCP).
2. Knowledge of containerization (Docker, Kubernetes) is valuable.
3. Exposure to CI/CD tools (Jenkins, GitHub Actions) and monitoring tools (Prometheus, Grafana).
4. Proficiency in at least one programming language (e.g., Python, Java, Go).
5. Experience with scripting languages (e.g., Bash).
...",not sure,
Statistics Tutor,2025-11-20,https://jobright.ai/jobs/info/68e455ae1852e62f00804e88?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,xAI,1001-5000,"Artificial Intelligence (AI),Generative AI",$45-$100 /hr,"1. Must have either (a) a Master’s or PhD in Statistics (or Mathematics with a specialization in statistics or probability) or (b) a medal in an International Math Olympiad (IMO), International Statistical Olympiad, or similar competition.
2. Proficiency in reading and writing, both in informal and professional English.
3. Strong ability to navigate various information resources and databases.
4. Outstanding communication, interpersonal, analytical, and organizational capabilities.
5. Solid reading comprehension skills combined with capacity to exercise autonomous judgment even when presented with limited data/material.
...",no,
AV Project Coordinator I,2025-11-20,https://jobright.ai/jobs/info/691f710c3f782d2f1afbc2bd?utm_source=1100&utm_campaign=Software Engineering,On Site,"Tampa, FL, United States",USF College of Nursing,,,$50990-$50990 /yr,"1. High School Graduate
2. Current work authorization in the United States
3. This position is not eligible for Visa Sponsorship",no,
IT Support Technician,2025-11-20,https://jobright.ai/jobs/info/691f6f5c09cc522e87741298?utm_source=1100&utm_campaign=Software Engineering,On Site,"Thief River Falls, MN",DigiKey,1001-5000,"Electronics,Industrial",$23.25-$32 /hr,"1. Proven experience in an IT support or similar role
2. Proficiency in troubleshooting hardware, software, and network issues
3. Knowledge in various operating systems (Windows/Mac/Linux/iOS/Android)
4. Self-motivated
5. Familiarity with IT security best practices
...",no,
"Software Engineer, Product",2025-11-20,https://jobright.ai/jobs/info/691f6ee83f782d2f1afbbf39?utm_source=1100&utm_campaign=Software Engineering,On Site,"Austin, TX, US",Drillbit (YC S24),1-10,"Artificial Intelligence (AI),CRM",$145000-$190000 /yr,"1. Passion about making housing more affordable
2. BS/MS/PhD in Computer Science, a related scientific field, or equivalent experience
3. 2+ years of full-stack experience with proficiency in TypeScript, React, Next.js, and relational databases
4. Production experience with LLMs (OpenAI, Anthropic, etc.) and RAG architectures",yes,
Jr IT Support Technician,2025-11-20,https://jobright.ai/jobs/info/691f9353a49a885af9a32034?utm_source=1100&utm_campaign=Software Engineering,On Site,"Cheshire, CT",BlueCastle IT Solutions,1-10,"Advice,Consulting",$38K-$42K /yr,"1. 0-2 years of experience in the Information Technology field
2. Passion for technology
3. Hard-working
4. Intelligent
5. Excellent customer service skills
...",not sure,yes
AI Monitoring Data Quality Analyst,2025-11-20,https://jobright.ai/jobs/info/691f90dc3f782d2f1afbdf35?utm_source=1100&utm_campaign=Software Engineering,Hybrid,Greater Orlando,Fortress Information Security,101-250,"Computer,Cyber Security",$50K-$55K /yr,"1. Proven working experience with security research analysis.
2. Demonstrated professional communication and client relationship skills.
3. Attention to detail, sound judgement, logical thinking, and proven ability to follow established scripts/consistency models, drive tasks to completion, meet deadlines in a fast-paced environment, and adapt to changing business environment with periodic supervision.
4. Strong computer skills, including MS Office and Google products (e.g. Word, Excel, Gmail) and other business software.
5. Understanding of information security frameworks (e.g., NIST (National Institute of Standards and Technology) 800-53, NIST CSF (Cybersecurity Framework), ISO (Independent System Operators) 27001).
...",no,
Information Technology Technician,2025-11-20,https://jobright.ai/jobs/info/691fb5c43f782d2f1afbf7d8?utm_source=1100&utm_campaign=Software Engineering,On Site,"St Augustine, FL",St. Johns County Supervisor of Elections Office,,"Government,Legal","$35,000-$60,000 /yr","1. High school diploma or equivalent
2. Demonstrated experience to perform required duties
3. Must be a registered voter in Florida
4. Must possess and maintain a valid Florida driver license
5. Working knowledge of and proficiency with computers, software, and related equipment necessary to maintain voter registration records
...",no,
Technical Help Desk Representative December 2025,2025-11-20,https://jobright.ai/jobs/info/691f902509cc522e87742fe2?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Indianapolis, IN
United States","Netfor, Inc.",101-250,"Customer Service,Information Technology",$16-$16 /hr,"1. Strong verbal and written communication skills.
2. Ability to type at least 35 words per minute.
3. Comfortable multitasking (talking, typing, and navigating systems).
4. Reliable, punctual, and professional under pressure.
5. Basic familiarity with Windows operating systems and Microsoft Office 365.
...",no,
Account Executive,2025-11-20,https://jobright.ai/jobs/info/691f6bcb09cc522e87740fcd?utm_source=1100&utm_campaign=Software Engineering,On Site,"New York, NY","Sent, Inc.",1-10,,$240K-$280K /yr,"1. At least 1 year of experience in technical sales, preferably selling APIs or developer tools
2. Strong understanding of developer workflows and API-first products
3. Ability to run a consultative, value-driven sales process with technical buyers
4. Comfortable discussing webhooks, REST APIs, and integration patterns
5. Track record of consistently meeting or exceeding quota in a startup environment
...",not sure,
Project Coordinator,2025-11-20,https://jobright.ai/jobs/info/691f898009cc522e87742a41?utm_source=1100&utm_campaign=Software Engineering,On Site,"Washington, DC","KMM Technologies, Inc.",251-500,"Information Technology,Internet",$40-$40 /hr,"1. Provides support to Project Managers and other team members and need to manage projects from start to end
2. Will be involved in Task Tracking, Administrative, Project Reporting and Follow-Up
3. Will be also involved in developing marketing collaterals (e.g., annual summaries, proposal packets, one-pagers - in short material)
4. Required Healthcare Claims Insurance Domain Experience
5. Task Tracking: Monitor and update project tasks to ensure timely completion.
...",not sure,
Clinical AI Scientist I - Digital Pathology,2025-11-20,https://jobright.ai/jobs/info/691f8c87a49a885af9a318e1?utm_source=1100&utm_campaign=Software Engineering,On Site,"El Monte, CA",Fulgent Genetics,251-500,"Biotechnology,Health Care",$92000-$113000 /yr,"1. B.S. degree from an accredited institution in Computational Biology, Bioinformatics, Computer Science, Applied Math/Engineering or related fields.
2. Experience through projects or research in a related scientific discipline (computer vision, machine learning, or deep learning).
3. Hands-on skills in coding with image data for annotation, classification, segmentation, and/or object recognition.
4. Experience in relevant programming languages (Python) and with deep learning libraries (pytorch, tensorflow).
5. Familiarity with digital pathology and basic pathology-related images and concepts (different stains as well as their purpose; basics of immunology and tissue structures).
...",not sure,
